Inmueble,Latitud,Longitud,Estado,Superficie Util,Superficie Construida,SuperficieTerreno,Zona,Precio
Departamento,19.67862360000000%2C,-101.1808488,Usado,204,,204,- - -,1500
Casa,19.68496740000000%2C,-101.250752,Usado,81,,81,- - -,785
Departamento,19.68246390000000%2C,-101.1546576,Usado,45,,45,- - -,6500
Local Comercial,19.69690013888400%2C,-101.1916351,Usado,60,,60,- - -,4500
Casa,19.66598620000000%2C,-101.2185717,Usado,---,- - -,,- - -,3200
Terreno,19.64053079280520%2C,-101.1665087,No Aplicable,318,,- - -,Altozano,1500
Casa,19.68212320000000%2C,-101.2243983,Nuevo,150,,150,- - -,1600
Terreno,19.1853386000%2C,-102.8515416,Usado,---,- - -,,- - -,10
Lote Casa,19.73312740000000%2C,-101.2006738,Usado,48,,48,- - -,450
Casa,19.65236839397990%2C,-101.2019348,Usado,210,,210,- - -,1500
Terreno,19.71738381531720%2C,-101.2452793,No Aplicable,---,- - -,,- - -,100
Casa,19.76638045808380%2C,-101.1935663,Nuevo,96,,96,- - -,765
Casa,19.66562400000000%2C,-101.194731,Nuevo,105,,105,- - -,1050
Terreno,19.74186400000000%2C,-101.2079247,No Aplicable,150.5,,- - -,- - -,220
Terreno,19.66806400000000%2C,-101.1648613,Nuevo,122 ha,- - -,,- - -,183
Terreno,19.52878989537440%2C,-101.5738611,No Aplicable,10 ha,- - -,,- - -,35
Casa,19.67306810000000%2C,-101.1992576,Usado,216,,216,- - -,2100
Casa,19.64053731745630%2C,-101.1658816,En construccion,350,,350,Altozano,5300
Casa,19.68322640000000%2C,-101.2564341,Usado,64,,64,- - -,500
Casa,19.71173570000000%2C,-101.2375023,Usado,---,- - -,,- - -,1050
Casa,19.68496740000000%2C,-101.250752,Nuevo,128,,128,- - -,985
Departamento,20.72105000000000%2C,-100.44738,Nuevo,210,,90,- - -,1288100
Terreno,19.68518245864920%2C,-101.3307667,No Aplicable,---,- - -,,- - -,1800
Terreno,19.67636522173570%2C,-101.175098,No Aplicable,240,,- - -,Altozano,1200
Casa,19.72162566888780%2C,-101.1143875,Nuevo,156,,156,- - -,1853
Terreno,19.68122295376620%2C,-101.2736573,No Aplicable,149.19,,- - -,- - -,220
Casa,19.70361893412010%2C,-101.2095578,Usado,280,,280,- - -,2700
Casa,19.77243180000000%2C,-101.1355496,Nuevo,80.69,,80.69,- - -,625
Casa,19.65529440000000%2C,-101.1727076,Nuevo,160,,160,- - -,1750
Casa,19.67386750000000%2C,-101.1865127,Usado,340,,340,- - -,3
Casa,19.66862050000000%2C,-101.1766011,Usado,270,,270,- - -,2900
Casa,19.72728129852940%2C,-101.1059761,Nuevo,188,,229.5,Tres Marias,2
Bodega,19.70166800000000%2C,-101.240951,Usado,621,,621,- - -,4950
Casa,19.69075856516080%2C,-101.24897,Nuevo,140,,140,- - -,1400
Local Comercial,19.67386750000000%2C,-101.1865127,Nuevo,32,,32,- - -,5
Terreno,19.66182535274720%2C,-101.1664009,No Aplicable,300,,- - -,Altozano,1250
Casa,19.73439094891940%2C,-101.1964417,Usado,90,,72,- - -,750
Casa,19.69751780000000%2C,-101.1836807,Usado,720,,720,- - -,8
Terreno,19.68599060000000%2C,-101.1456936,No Aplicable,500,,- - -,- - -,1150
Casa,19.66796803574060%2C,-101.2019348,Nuevo,146,,146,- - -,1582
Terreno,19.68574815946430%2C,-101.2088013,Usado,400,,400,- - -,35
Terreno,19.65818812689950%2C,-101.1788464,No Aplicable,"4,293.95 ;",- - -,,- - -,17175800
Terreno,19.6599095000%2C,-101.2219193,No Aplicable,360,,360,- - -,250
Terreno,19.69043531791170%2C,-101.1559296,No Aplicable,500,,- - -,- - -,3500
Casa,19.65729901470140%2C,-101.1597061,Nuevo,170,,170,- - -,1950
Casa,19.64615988446240%2C,-101.1706286,Nuevo,---,- - -,,Altozano,4200
Casa,19.66069378021220%2C,-101.1667442,Nuevo,190,,190,Altozano,2500
